Strain	Subspp	Subssp_abr	ST	Region	Country_code	Host	Assembly_level	NCBI_ID
IVIA5235	fastidiosa	Xff	1	Spain	ESP	Prunus avium	Complete Genome	GCA_003515915.2
R2XF4358-18	fastidiosa	Xff	1	Spain	ESP	Rhamnus alaternus	Complete Genome	GCA_028228495.1
IVIA5770	fastidiosa	Xff	1	Spain	ESP	Vitis vinifera	Complete Genome	GCA_028227995.1
XF-3967-18	fastidiosa	Xff	1	Spain	ESP	Vitis vinifera	Scaffold	GCA_015102005.1
Riv13	fastidiosa	Xff	1	United States, California	USA	Cercis occidentalis	Complete Genome	GCA_021459945.1
CFBP8071	fastidiosa	Xff	1	United States, California	USA	Prunus dulcis	Contig	GCA_004016295.1
M23	fastidiosa	Xff	1	United States, California	USA	Prunus dulcis	Complete Genome	GCA_000019765.1
Bakersfield-1	fastidiosa	Xff	1	United States, California	USA	Vitis vinifera	Complete Genome	GCA_009664125.2
CFBP8351	fastidiosa	Xff	1	United States, California	USA	Vitis vinifera	Complete Genome	GCA_028228155.1
RAAR10-CV17-3	fastidiosa	Xff	1	United States, California	USA	Vitis vinifera	Contig	GCA_022836675.1
RAAR7-Conn-Creek	fastidiosa	Xff	1	United States, California	USA	Vitis vinifera	Contig	GCA_022836775.1
Stags-Leap	fastidiosa	Xff	1	United States, California	USA	Vitis vinifera	Complete Genome	GCA_021459925.1
Temecula1	fastidiosa	Xff	1	United States, California	USA	Vitis vinifera	Complete Genome	GCA_000007245.1
TemeculaL	fastidiosa	Xff	1	United States, California	USA	Vitis vinifera	Complete Genome	GCA_053901445.1
EB92-1	fastidiosa	Xff	1	United States, Florida	USA	Sambucus canadensis	Contig	GCA_000219235.2
GB514	fastidiosa	Xff	1	United States, Texas	USA	Vitis vinifera	Complete Genome	GCA_000148405.1
GV230	fastidiosa	Xff	2	Taiwan	TWN	Vitis labrusca x cv Black Queen	Complete Genome	GCA_014249995.1
GV156	fastidiosa	Xff	2	Taiwan	TWN	Vitis vinifera	Contig	GCA_009910885.1
TPD3	fastidiosa	Xff	2	Taiwan	TWN	Vitis vinifera	Contig	GCA_007845655.1
TPD4	fastidiosa	Xff	2	Taiwan	TWN	Vitis vinifera	Contig	GCA_007845705.1
CFBP8082	fastidiosa	Xff	2	United States, Florida	USA	Ambrosia artemisiifolia	Complete Genome	GCA_055765255.1
